Question Name,ID,Link,Tags
Search in a Rotated Sorted Array,LC 33,https://tinyurl.com/searchInARotatedArray,binary-search
Majority Element,LC 169,https://tinyurl.com/majorityElement,hashmaps/dictionary linear-search frequency-counter
First Bad Version,LC 278,https://tinyurl.com/firstBadVersion,binary-search
Ransom Note,LC 383,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC383_RansomNote.py,hashmaps/dictionaries linear-search frequency-counter
First Unique Character in String,LC 387,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC387_FirstUniqueCharacter.py,strings orderedDictionary hashmaps/dictionaries
Number Complement,LC 476,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC476_NumberComplement.py,bit-manipulation
Jewels and Stones,LC 771,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC771_JewelsAndStones.py,strings frequency-counter dictionaries/hashmaps
Cousins in Binary Tree,LC 993,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC993_CousinsInABinaryTree.py,binary-trees nodes breadth-first-search (bfs)
Permutations,LC 46,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC46_Permutations.py,backtracking recursion permutation dfs
Subsets,LC 78,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC78_Subsets.py,backtracking recursion powerset dfs
Valid Perfect Square,LC 367,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC367_ValidPerfectSquare.py,math
Check if it's a straight line,LC 1232,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC1232_CheckIfStraightLine.py,math gradient zero-error
Find The Town Judge,LC 997,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC997_FindTheTownJudge.py,graph-creation defaultdict sets inedges outedges
Flood Fill,LC 733,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC733_FloodFill.py,dfs bfs 2D-Matrix
Validate Binary Search Tree,LC 98,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC98_ValidateBinarySearchTree.py,recursion binary-search-tree dfs 
Single Element In Sorted Array,LC 540,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC540_SingleElementInSortedArray.py,binary-search sorting 
Remove K Digits,LC 402,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC402_RemoveKDigits.py,stack monotonic-increasing sequence greedy backtracking dynamic-programming recursion
Implement Trie,LC 208,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC208_ImplementTrie.py,hashmap/dictionary trie
Maximum Subarray Circular,LC 918,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC918_MaximumSubArrayCircular.py,dynamic-programming kadane-algorithm
Odd Even Linked List,LC 328,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC328_OddEvenLinkedList.py,linked-lists pointers
Remove Nth Node From End of List,LC 19,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC19_RemoveNthNodeFromEndOfList.py,linked-list
Palindromic Substrings,LC 647,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC647_PalindromicSubstrings.py,strings palindrome dynamic-programming
Find All Anagrams In A String,LC 438,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC438_FindAllAnagramsInAString.py,sliding-window hashmaps/dictionaries
Permutation In String,LC 567,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC567_PermutationInString.py,sliding-window hashmaps/dictionaries
Online Stock Span,LC 901,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC901_OnlineStockSpan.py,stacks
Kth Smallest Element In A BST,LC 230,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC230_KthSmallestElementInABST.py,binary-trees dfs
Count Square Submatrices With All Ones,LC 1277,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC1277_CountSquareSubmatricesWithAllOnes.py,dynamic-programming
Linked List Cycle II,LC 142,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC142_LinkedListCycleII.py,linked-list
Convert Sorted List to Binary Search Tree,LC 109,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC109_ConvertSortedListtoBinarySearchTree.py,linked-list binary-search-tree sorted-list
Decode Ways,LC 91,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC91_DecodeWays.py,dynamic-programming recursion backtracking
Reverse Words in a String,LC 151,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC151_ReverseWordsInAString.py,strings 
Combination Sum IV,LC 377,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC377_CombinationSumIV.py,dynamic-programming recursion backtracking
Valid Mountain Array,LC 941,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC941_ValidMountainArray.py,
Continuous Subarray Sum,LC 523,https://github.com/msaqibdani/LeetCode-Practice/blob/master/LC523_ContinuousSubArraySum.py,dynamic-programming running-sum
